GEOID,NAME,lat,lon,year,state_name,commodity_desc,statisticcat_desc,unit_desc,Value
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,OATS,PRODUCTION,BU,29060
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,OATS,PRODUCTION,BU,28000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,POTATOES,PRODUCTION,CWT,489
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,RYE,PRODUCTION,BU,1362
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,1350
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,6800
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,159507
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,182000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,SWEET POTATOES,PRODUCTION,CWT,4192
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,4066764
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,4014000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,103929
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,154000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,154000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,WOOL,PRODUCTION,LB,294
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,WOOL,PRODUCTION,OPERATIONS,8
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,BARLEY,PRODUCTION,BU,92600
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,CORN,PRODUCTION,BU,318000
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,CORN,PRODUCTION,TONS,13100
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,600
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,HAY,PRODUCTION,TONS,33000
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,OATS,PRODUCTION,BU,25000
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,92500
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,3194000
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,WHEAT,PRODUCTION,BU,157000
37057,Davidson County,35.7951312,-80.207107,1998,NORTH CAROLINA,WHEAT,PRODUCTION,BU,157000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,BARLEY,PRODUCTION,BU,98100
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,CORN,PRODUCTION,BU,201000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,CORN,PRODUCTION,TONS,29900
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,700
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,HAY,PRODUCTION,TONS,34100
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,OATS,PRODUCTION,BU,30000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,131000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,2991000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,WHEAT,PRODUCTION,BU,135000
37057,Davidson County,35.7951312,-80.207107,1999,NORTH CAROLINA,WHEAT,PRODUCTION,BU,135000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,BARLEY,PRODUCTION,BU,144000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,CORN,PRODUCTION,BU,219000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,CORN,PRODUCTION,TONS,29800
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,975
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,HAY,PRODUCTION,TONS,38800
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,OATS,PRODUCTION,BU,43000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,187000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,1875000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,WHEAT,PRODUCTION,BU,102000
37057,Davidson County,35.7951312,-80.207107,2000,NORTH CAROLINA,WHEAT,PRODUCTION,BU,102000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,BARLEY,PRODUCTION,BU,18000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,CORN,PRODUCTION,BU,154000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,CORN,PRODUCTION,TONS,19100
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,540
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,HAY,PRODUCTION,TONS,13600
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,OATS,PRODUCTION,BU,23000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,5300
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,457000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,SWEET POTATOES,PRODUCTION,CWT,9500
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,13349000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,WHEAT,PRODUCTION,BU,341000
37069,Franklin County,36.0882466,-78.2830821,1996,NORTH CAROLINA,WHEAT,PRODUCTION,BU,341000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,BARLEY,PRODUCTION,BU,17440
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,BARLEY,PRODUCTION,BU,20700
